2025-03-16 15:06:30 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-03-16 15:06:30 [main] INFO  org.backend.BackendMain - Starting Main using Java 20.0.2 on god_vaper with PID 22008 (D:\android_developing\IdiaProjects\pre-project-3\backend\target\classes started by levic in D:\android_developing\IdiaProjects\pre-project-3)
2025-03-16 15:06:30 [main] INFO  org.backend.BackendMain - No active profile set, falling back to 1 default profile: "default"
2025-03-16 15:06:31 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-16 15:06:31 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31 ms. Found 6 JPA repository interfaces.
2025-03-16 15:06:31 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-03-16 15:06:31 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-03-16 15:06:31 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-16 15:06:31 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-03-16 15:06:31 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-16 15:06:31 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 827 ms
2025-03-16 15:06:31 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-16 15:06:31 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-16 15:06:31 [main] INFO  liquibase.database - Set default schema name to public
2025-03-16 15:06:31 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2025-03-16 15:06:32 [main] INFO  liquibase.changelog - Reading from public.databasechangelog
2025-03-16 15:06:32 [main] INFO  liquibase.lockservice - Successfully released change log lock
2025-03-16 15:06:32 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-16 15:06:32 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-03-16 15:06:32 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-03-16 15:06:32 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
2025-03-16 15:06:32 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-03-16 15:06:32 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-16 15:06:33 [main] DEBUG o.s.w.f.CommonsRequestLoggingFilter - Filter 'commonsRequestLoggingFilter' configured for use
2025-03-16 15:06:33 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4ba32242, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@581f1f40, org.springframework.security.web.context.SecurityContextPersistenceFilter@6a90b5e8, org.springframework.security.web.header.HeaderWriterFilter@5b6637f3, org.springframework.security.web.authentication.logout.LogoutFilter@719e8f9f, org.backend.config.jwt.JwtAuthenticationFilter@197da701, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3bdf6d63, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f959640, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@52b2c255, org.springframework.security.web.session.SessionManagementFilter@16ac67e3, org.springframework.security.web.access.ExceptionTranslationFilter@17796f47, org.springframework.security.web.access.intercept.AuthorizationFilter@10b063fd]
2025-03-16 15:06:33 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-16 15:06:33 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2025-03-16 15:06:33 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-03-16 15:06:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-03-16 15:06:33 [main] INFO  org.backend.BackendMain - Started Main in 3.098 seconds (JVM running for 3.726)
2025-03-16 15:06:35 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-03-16 15:06:35 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-03-16 15:06:35 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
